,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Tuyệt vời,Confidential,Confidential,Confidential,Confidential
1,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Cảm ơn nhà sản xuất áp này tốt quá,Confidential,Confidential,Confidential,Confidential
2,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,,Confidential,Confidential,Confidential,Confidential
3,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,,Confidential,Confidential,Confidential,Confidential
4,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,,Confidential,Confidential,Confidential,Confidential
5,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Rất hữu ích nha.,Confidential,Confidential,Confidential,Confidential
6,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Ok đã thi đạt,Confidential,Confidential,Confidential,Confidential
7,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Tui đã học rất ngu như giờ thì cũng rất ngu,Confidential,Confidential,Confidential,Confidential
8,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,2,Confidential,Áp rất có ích nhưng đầy quảng cáo rất mất thời gian và rất tệ là quảng cáo che mất nội dung không thể hết được,Confidential,Confidential,Confidential,Confidential
9,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,,Confidential,Confidential,Confidential,Confidential
10,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,,Confidential,Confidential,Confidential,Confidential
11,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Cảm ơn nhà sản xuất nhiều ạ nhờ có áp mà thi tốt lắm ạ thi đỗ luôn 24/25 câu lận cảm ơn áp nhiều lắm ạ,Confidential,Confidential,Confidential,Confidential
12,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,"Dễ hiểu đơn giản,dễ học thuộc",Confidential,Confidential,Confidential,Confidential
13,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Quá tròi ổn luôn e đang học bằng lái nhờ app này e học cũng nhớ nhớ vài điều hên ko có quảng cáo ạ Thank you app của a E chắc chắn sẽ đỗ bằng lái a1 😙😆,Confidential,Confidential,Confidential,Confidential
14,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Good,Confidential,Confidential,Confidential,Confidential
15,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Tốt nhất hiện nay,Confidential,Confidential,Confidential,Confidential
16,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,Confidential,5,Confidential,Ok hiệu rõ hơn,Confidential,Confidential,Confidential,Confidential
